id,screen_name,created_at,text
1657713757492068357,,,@Caralinamendez2 Hola Buenos días  o tal ves tardes tardes ✌️😎🥳
1657713791558119424,,,@freakypervnigga @ThickNiggBee Me
1657714019594035202,,,https://t.co/StC0fPIHIR
1657714043442823169,,,@N6edBe9xVHDd6ON @Bar_ShemUr @TallyGotliv Enough with dumb GIFs!
1657714064535986178,,,Humbled by a skinny man https://t.co/RVYWTDq4Zg
1657714078247276544,,,Updated: Incident on #FranklinDRooseveltDrive NB at East 73rd Street https://t.co/BfnwCFHi3n
1657714078217904128,,,Updated: Incident on #FranklinDRooseveltDrive NB at East 73rd Street https://t.co/KRU6fnbhFG
1657714210766290952,,,"Thank you, E Street Nation, for joining me again this week. The topic was the @springsteen song that is most important to you right now. The encore presentation of The Wild &amp; The Innocent is, coming up at 10 am ET 7 PT on E Street Radio @SIRIUSXM ch. 20 and the SXM app. https://t.co/x6hYle71W1"
1657714303019917316,,,"Wow I just heard this song and wow! So many truths spoken here especially the part about politicians!!!! Both sides are truly the same coin yes it does come down to the lesser evil but both sides are truly the same coin! Let's make a stand!!! #DollyParton

https://t.co/ZdSaRaqjK4"
1657714399446986758,,,"Me and @deanmichaelz 
Check out all our videos together:
https://t.co/WRwbYpNEOm
🚨50% off today! 🚨 https://t.co/wa0GRr9bLy"
1657714668515782658,,,"@Dpete9Peterson @CNN CNN nope
Fox nope
MSNBC hahaha
CNBC fair

What else?"
id,screen_name,created_at,text
1657715088575410179,,,"MOM👶🐤😻🐶🦜🐇
Happy Mother’s Day🌷 https://t.co/UfQkHbDa9P"
1657715150214840327,,,@JamesShala1 Only old men will take pictures with her. Where are all the females she was talking about during the trial?? We all know that no one is supporting her cause she was proven to be an abuser and liar.
1657715464783446018,,,@stanleysmith873 @JustStacie5683 Here you are. https://t.co/5CNkHJXMKn
1657715464024227843,,,"Two Too Large Tables by Allan Wexler-Ellen Wexler 
#art providing a shade pavillion &amp; a community table with a focused view of the Hudson River, walkways, &amp; landscape ♥️ bringing people together along the @HudsonRiverPark 🍎#NYC https://t.co/wqdBFEtbgr"
1657715750667268097,,,@sachin_rt Aai Shapath ! Ekdum Barobar 👍🏻
1657715948055326721,,,@according2_taz Please don’t compare this trash of a prince with Johnny Depp. There’s no comparison between them.
1657716011846582272,,,"https://t.co/WRwbYpNEOm
🚨50% off today! 🚨"
1657716496318050307,,,Lmao YoungBoY got these successful millionaires think they have opps😂😂 https://t.co/ySkODMr6R4
1657716814825111552,,,I wonder if this will effect all his endorsement deals and if his doing this because it’s legal on his state ? Lol either way this was a dumb move 😂💀💀💀 https://t.co/R1HBjtXyGK
1657716927261822978,,,To all those women that pour into us. Celebrate your day! https://t.co/xvQdExGrCa
1657717174784385024,,,"@AmiriKing @realWendellWard I'm probably the wrong person to ask. I live in NYC, where somebody is marching about something every week. I'll just get outta the way and let the ideologues duke it out."
1657717444570501124,,,"Another #MothersDay is here, making this the 18th year she hasn't been here in this earthly world, for this occasion. 
Even though she is no longer here physically, I know she is with me in spirit. 
Happy Mother's Day, 媽媽! 
I love you and I miss you.💗 https://t.co/WuZtKE51sp"
1657717446697000960,,,"I think back to the woman she was and how she shaped me into becoming who I am,as I person. 
We didn't see eye to eye on many things and there were issues. At the end, everything she did,she truly meant well.
Over the years, I have come to  better understand."
1657717449612054528,,,🕗  CLON CLON CLON CLON CLON CLON CLON CLON
1657717451662999552,,,"Despite differences, she was my fiercest advocate and champion. 
Even though she was confused why I am so different, she always saw promise and potential in me, no matter what happened.
All she wanted was for me to live up to what I was capable of."
1657717449943396352,,,"I've made peace with so much and now that I have a better understanding why she wanted to talk with me about the past, in regards to me before she passed, I truly hope and pray that she knows that I did love and appreciate her while she was here."
1657717586816286721,,,"The Wildhood team attended the 34th GLAAD media awards because the film was nominated as ""Oustanding Film - Streaming or TV"" by Hulu. It didn't get the award, but this movie rocks and its story rocks.
@glaad @wildhoodmovie @JoshuaOdjick
#TwoSpiritLove
#TwoSpiritMovie https://t.co/vxQ4JBM83E"
1657717638959710210,,,The Secret Myths Behind Your Favorite Fantasy Stories  https://t.co/71V2btEVdt
1657717711768567811,,,Someone told me I fuck with my eyes https://t.co/EAqmtKyeTE
1657717774058176514,,,@paul_hearty1 Great pic that Hertz 👏🏽👏🏽
1657717867956125697,,,"このシト、背が高い人ってイメージしかなかったけど、腕長いし手も大きいのね。全盛期にちゃんとプレイ見とけば良かった。
（スポーツ全般全然疎いワシ）

コレは人気出るのも納得。 https://t.co/Q6mK5bmRmH"
1657718001477595138,,,@AmiriKing @realWendellWard Oh one more thing. NYPD provides organized protection for all who march. I don't know if PC Sewell uses bicycles. She probably does.
1657718008700104705,,,"I’m grateful for a soft, easy Sunday morning. I’m grateful for really excellent coffee. I’m grateful for content and ease. I’m grateful for the ball bouncing the way it needed to. I’m grateful for the penny I found (and retrieved) on the subway. I’m grateful to be sober today. https://t.co/RBJKAgDNlu"
1657718078409416712,,,Amazing show. #primafacie #jodiecomer #Broadway https://t.co/Yv0U5PLDkN
1657718096142925826,,,@primalbeautynat @Michael_P_Walsh @notcapnamerica Here you go @primalbeautynat https://t.co/ALZkh1QMPl
1657718140116123648,,,@RichardRubinDC on #tax revenue volatility https://t.co/8xJzxUsmK0
1657718275311034369,,,"@georgyporgy111 My kind of vacation - not much to do. Completely secluded from society - minimum interaction, activities. Great food, spa sessions, a beautiful beach and plenty solitude. 🥰"
1657718378172145665,,,Mr. NYC @MrNewYorkCityy impressing at the G League Combine after his storybook NCAA Tournament https://t.co/6WQWKwJEbZ
1657718484623671305,,,A little odd Fabio’s last match at the Italian is on that meh grandstand https://t.co/8l0T09LdF7
1657718597051981824,,,Construction on #M8Bus EB from W 10 St/7 Av S to W 10 St/Waverly Pl https://t.co/lnjbDvCY3i
1657718597752422438,,,Construction on #M8Bus EB from W 10 St/7 Av S to W 10 St/Waverly Pl https://t.co/HWryUW9BRb
1657718598658342914,,,Incident on #Bxm2Bus Both directions from W 81 St/Central Park W to Broadway/W 63 St https://t.co/lI3HF1bgCa
1657718599589437440,,,Incident on #M116Bus Both directions from E 116 St/3 Av to E 116 St/2 Av https://t.co/li6L8h9GhR
1657718599883038724,,,Incident on #Bxm11Bus Both directions from Madison Av/E 99 St to 5 Av/W 98 St https://t.co/BtFlvLRE96
1657718598884794372,,,Incident on #M116Bus Both directions from E 116 St/3 Av to E 116 St/2 Av https://t.co/geQxGGOxEV
1657718601388793857,,,Incident on #FranklinDRooseveltDrive SB at Grand Street https://t.co/GRITcjpgJy
1657718597983019008,,,Incident on #Bxm2Bus Both directions from W 81 St/Central Park W to Broadway/W 63 St https://t.co/ONHzReTwnz
1657718600973647878,,,Incident on #FranklinDRooseveltDrive SB at Grand Street https://t.co/LfWDyxAILE
1657718600482844674,,,Incident on #Bxm11Bus Both directions from Madison Av/E 99 St to 5 Av/W 98 St https://t.co/QWfAdhtiPy
1657718860064120832,,,"@JenniferCandoli Yea, this is a lie. The “rush” on the border just ain’t happening."
1657719281604231169,,,🍎 #NYC https://t.co/CNVUsHHDSA
1657719322700046336,,,@joncoopertweets Inappropriate affect
1657719412823150594,,,@GMA @WhitJohnson #goodmirning @GioBenitez #welcomeaboard @janai #happymothersday2023 https://t.co/JzapVpQItu
1657719624295743491,,,@YukoCalifornia 結局はどちらに主軸を置けるかって話なんですが、同じ条件なら🇯🇵の方がコストが安いので、ビンボーな自分には前述のが良いかなと思いました😅
1657719646072520704,,,"Coauthor On APC: charge USD 8000

-The Membership registration fee.
 
-Publishing the unlimited articles (free of cost) for one year as “Coauthor”.
 
-“Journal of Mathematical Techniques and Computational Mathematics (ISSN: 2834-7706) (ISO JMTCM) | URL https://t.co/rmrdMwpCvJ”"
1657719915241930752,,,"Coauthor On APC: charge USD 8000

-The Membership registration fee.

-Publishing the unlimited articles (free of cost) for one year as “Coauthor”.

-“Journal of Mathematical Techniques and Computational Mathematics (ISSN: 2834-7706) (ISO JMTCM) | URL https://t.co/rmrdMwpCvJ” https://t.co/28FyXTGhGY"
1657719924964425733,,,"#MothersDay2023 Grateful for all the Moms - past, present, and future. We celebrate you today. https://t.co/7ew2SFiR16"
1657720063971979272,,,“I’m from Cali and the Chairman of my former firm owns all of @pebblebeachgolf”
1657720194247323648,,,"This job is now open at Anistar in #NewYork, NY. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: AV Support Technician #SkilledTrade"
1657720238551494656,,,"@georgyporgy111 Haha interesting. I can go two weeks inside my house without cracking a door open.

I deeply enjoyed my trip to Kaya Mawa. Was there with my team for a few days. It is heavenly. All the places without TVs and tech are for me. 🥰"
1657720243974750209,,,"I am committed to continue investing in our youth, making sure they have the resources they need to thrive. Sports is one of many ways that our youth channel their energy, stay healthy, and keep out of trouble. https://t.co/vAm26Do2cp"
1657720269052469255,,,"Happy birthday to all the mothers out there

Crazy y’all were born on the same day"
1657720474405675010,,,@Smiles206 @tonysoares Opportunities are there for sure. The outcomes not so much.
1657720552965001216,,,Not great shots but happy to start the day with a Bay-breasted and Black-throated Blue this AM at The Pool in Central Park. #birding #BirdTwitter #birdcpp #springmigration #bigcitybirding https://t.co/AwGCqdCcz8
1657720833123516417,,,$8000 one year for unlimited articles.
1657721021711937539,,,Lovely Free Parking Lot! View of the Hudson River with motors on 🤦‍♀️ https://t.co/aGmV5tPNGz
1657721305133899776,,,Sunday via @AlleyWatch https://t.co/BlzQstvNHL
1657721395349008384,,,Cleared: Incident on #FranklinDRooseveltDrive NB at East 73rd Street
1657721395508289537,,,Cleared: Incident on #FranklinDRooseveltDrive NB at East 73rd Street
1657721630481686528,,,"The great thing about having friends visit is that they have the foresight to plan things they want to do on their holiday. As Juliet &amp; Hannah have been to NYC a number of times before, today we’re taking a trip out of town on the Amtrak! 🚂"
1657721799612801026,,,@ShaheedBala All the training from childhood is what one takes most of the time except they watch wedding videos again.
1657721863160594432,,,https://t.co/Pi06rShL5z
1657722221190586374,,,A rare sight: Erdoğan is waiting  in line to vote for the ballot box #TurkiyeElection2023 https://t.co/pugDzd6fcO
1657722319282880519,,,"@Yankees Replying to @judgekid79 Twitter Edder Vargas for @Yankees Twitter 
#ALLRISE"
1657722340594032641,,,"Thank you @AsstSecCastillo for joining @KatiePhang to talk about the Biden admin’s $500 million investment to create tech hubs &amp; jobs in middle America.
(Thanks for coordinating @jdlovitz!) https://t.co/ljN3yXhSz1"
1657722776701091842,,,"https://t.co/jyDicxGZ6X
A common belief that  Mother’s Day began in the West, originating
 Greek &amp; Roman spring festivals dedicated
  maternal goddesses &amp; Mothering Sunday
  European Christian tradition 1600s.
 But the 1st 🎉 motherhood  in Egypt as
  Pharaonic tradition
Read !"
1657722883211141120,,,@AVindman Isn’t there a point at which the Senate can take action against a consciously obstructionist Senator? Do we really have to just lie down and surrender to social sabotage? Where is Schumer? I don’t want to hear about another obscure Senate “rule.” Take a censure vote. Act!
1657722881650860035,,,"@georgyporgy111 Oh that’s fair. You’d love Zanzibar Darajani vibes. Too busy for my liking, but there’s so much to do you would possibly enjoy."
1657722963884494850,,,"🖤 🤍♥️ 💚 💛 💙𓋹
🐸 🐍 👑 https://t.co/V0eUfJv6ky"
1657723010634199041,,,@JuliAnggeline Tu eres una mamasita.
